"Name","n_poste","Level","Section","Role","status","year","institutions","ID","X","X.1","Id.author.no"
"Angela BARTHES",321,"PR","70",NA,"externe",2019," Aix-Marseille Université ","98141392",NA,NA,NA
"Angela BARTHES",4161,"PR"," 70 ",NA,"externe",2019,NA,"98141392",NA,NA,NA
"Angela BARTHES",4480,"PU  ","70",NA,"externe",2020,NA,"98141392",NA,NA,NA
"Angela BARTHES",4460,NA,NA,NA,"externe",2019,NA,"98141392",NA,NA,NA
"Anissa BELHADJIN",4285,"MCF","9",NA,"interne",2017,NA,"11317022X",NA,NA,NA
"Anne-Cécile KOENIG LE RIBEUZ",4254,"MCF","9"," pdte ","interne",2019,NA,"100503756",NA,NA,NA
"Anne-Claire Husser",4265,"MCF",NA,NA,"externe",2017,NA,"135608104",NA,NA,NA
"Anne-Claudine Oller-naudet",4639,"MCF ","70",NA,"interne",2019,NA,NA,NA,NA,"160146801"
"Anne-Claudine Oller-naudet",4639,"MCF ","70",NA,"interne",2019,NA,NA,NA,NA,"160146801"
"Anne-Claudine Oller-naudet",4639,"MCF ","70",NA,"interne",2019,NA,NA,NA,NA,"160146801"
"Anne-Claudine Oller-naudet",56,NA,NA,NA,"externe",2019,NA,NA,NA,NA,"160146801"
"Anne-Claudine Oller-naudet",56,NA,NA,NA,"externe",2019,NA,NA,NA,NA,"160146801"
"Anne-Claudine Oller-naudet",56,NA,NA,NA,"externe",2019,NA,NA,NA,NA,"160146801"
"Anne-Claudine Oller-naudet",4763,"MCF ",NA,NA,"interne",2020,"Université Paris Est Créteil (Paris 12)",NA,NA,NA,"160146801"
"Anne-Claudine Oller-naudet",4763,"MCF ",NA,NA,"interne",2020,"Université Paris Est Créteil (Paris 12)",NA,NA,NA,"160146801"
"Anne-Claudine Oller-naudet",4763,"MCF ",NA,NA,"interne",2020,"Université Paris Est Créteil (Paris 12)",NA,NA,NA,"160146801"
"Anne-Gaelle WEBER",58,NA,NA,NA,"interne",2019,NA,"52298604",NA,NA,NA
"Anne-Laure LEGUERN",4381,"MCF","70","v_pdt","interne",2018,NA,NA,NA,NA,"152616365"
"Anne-Lise DOYEN",403,"MCF",NA,NA,"externe",2019," Université d'Orléans ","114465398",NA,NA,NA
"Anne-Lise DOYEN",4365,NA,NA,"v_pdte","interne",2019,NA,"114465398",NA,NA,NA
"Anne-Lise Ulmann",4346,NA,NA,NA,"externe",2020,NA,"59625201",NA,NA,NA
"Anne-Marie Tabacchi",4436,"MCF","67",NA,"externe",2018,NA,"158306333",NA,NA,NA
"Anne-Marie Vonthron",4611,NA,NA,NA,"interne",2020,"Université Paris NAnterre","155706632",NA,NA,NA
"Anne BARRERE",901,"PR","70",NA,"externe",2017," Université Paris Descartes ","35326727",NA,NA,NA
"Anne BARRERE",4265,"PU",NA,NA,"interne",2017,NA,"35326727",NA,NA,NA
"Anne BARRERE",4514,NA,"70",NA,"externe",2019," Université ParisDescartes ","35326727",NA,NA,NA
"Anne BARRERE",4380,NA,NA,NA,"externe",2017,"Paris 5 ","35326727",NA,NA,NA
"Anne Barrère",56,NA,NA,NA,"externe",2019,NA,"35326727",NA,NA,NA
"Anne Barrère",4374,NA,NA,"v_pdte","interne",2019,NA,"35326727",NA,NA,NA
"Anne Barrère",4772,NA,NA,NA,"externe",2020,"Université Paris Descartes ","35326727",NA,NA,NA
"Anne Barrère",4574,NA,NA,NA,"externe",2018,"Paris Descartes","35326727",NA,NA,NA
"Anne Barrère",4775,NA,NA,NA,"externe",2020,"Université Paris Descartes ","35326727",NA,NA,NA
"Anne BESSON",58,NA,NA,NA,"interne",2019,NA,"58494715",NA,NA,NA
"Anne Brun",4498,NA,"16",NA,"externe",2020,NA,"50516167",NA,NA,NA
"Anne BRUN",4305,"PR","16",NA,"interne",2017,NA,"50516167",NA,NA,NA
"Anne BRUN",4341," PR ","16",NA,"interne",2018,"CRPPC","50516167",NA,NA,NA
"Anne DEBET",4303," PU ",NA,NA,"interne",2018,NA,"60159154",NA,NA,NA
"Anne DELBRAYELLE",4421,"MCF","70",NA,"interne",2017,NA,"92460003",NA,NA,NA
"Anne DEMEESTER",4452,"MCF","70",NA,"externe",2018," Université Aix Marseille ","131490877",NA,NA,NA
"Annette JARLEGAN",4312," PU","70",NA,"externe",2018," Université de Lorraine ","15212358X",NA,NA,NA
"Annette Jarlégan",901,"PR","70","ptdE","interne",2017,NA,"15212358X",NA,NA,NA
"Annette Jarlégan",1257,"PU","70",NA,"interne",2020,"Université de Lorraine","15212358X",NA,NA,NA
"Annette Jarlégan",4762,NA,NA,NA,"externe",2020,"Université de Lorraine ","15212358X",NA,NA,NA
"Annette SCHMEHL POSTAI",4268,"MCF","70",NA,"externe",2017," NAntes ",NA,NA,NA,"112361021"
"Annette SCHMEHL POSTAI",4268,"MCF","70",NA,"externe",2017," NAntes ",NA,NA,NA,"112361021"
"Annette SCHMEHL POSTAI",4463,NA,NA,NA,"interne",2018,NA,NA,NA,NA,"112361021"
"Annette SCHMEHL POSTAI",4463,NA,NA,NA,"interne",2018,NA,NA,NA,NA,"112361021"
"Annette JARLEGAN",193,"PR",NA,NA,"externe",2017," Lorraine ","15212358X",NA,NA,NA
"Annette JARLEGAN",197,"PR",NA,NA,"externe",2017," Lorraine ","15212358X",NA,NA,NA
"Annie JEZEGOU",28," PR ","70",NA,"interne",2018,"Univ Lille ","03558162X",NA,NA,NA
"Annie JEZEGOU",73," PR","70","v_pdt ","interne",2018,"Univ Lille ","3558162X",NA,NA,NA
"Annie JEZEGOU",160,"PR","70"," pdt ","interne",2020,"Université de Lille","3558162X",NA,NA,NA
"Annie JEZEGOU",4268,"PR","70",NA,"externe",2017," Lille 1 ","3558162X",NA,NA,NA
"Annie JEZEGOU",4286,"PR","70",NA,"externe",2017," Lille 1 ","3558162X",NA,NA,NA
"Annie JEZEGOU",4174,"PR","70",NA,"externe",2018," Lille ","3558162X",NA,NA,NA
"Antoine Kattar",4460,"PR ","70"," pdt","interne",2019,NA,"161881645",NA,NA,NA
"Antoine KATTAR",4409,"MCF","70",NA,"interne",2017,NA,"161881645",NA,NA,NA
"Antoine KATTAR",4400,"MCF","70",NA,"externe",2017," ESPE Amiens","161881645",NA,NA,NA
"Antoine KATTAR",4551,"PR","70",NA,"externe",2018," Université de PicardieJules Verne ","161881645",NA,NA,NA
"Antoine KATTAR",4551,"PR","70",NA,"externe",2018," Université de PicardieJules Verne ","161881645",NA,NA,NA
"Antoine TESNIÈRE",4263,"PUPH",NA,NA,"interne",2017,NA,"140689125",NA,NA,NA
"Antoine THEPAUT",4328," MCF",NA,NA,"externe",2018," Université de Lille ","69846952",NA,NA,NA
"Antoine THEPAUT",4268,"MCF","74",NA,"externe",2017," ESPE LNF","69846952",NA,NA,NA
"Antoine Thépaut",24,NA,NA,NA,"externe",2020,NA,"69846952",NA,NA,NA
"Antony SORON",4254,"MCF","9",NA,"externe",2019," Sorbonne Université",NA,NA,NA,"058920943"
"Ariane Richard-Bossez",645,NA,NA,NA,"interne",2018,NA,"197722962",NA,NA,NA
"ARMAGNAGUE Maïtena",4065,"MCF","19",NA,"interne",2018,NA,"148682847",NA,NA,NA
"Arnaud Dubois",4501,"PU","70",NA,"interne",2020,"Université de Rouen","114505160",NA,NA,NA
"Arnaud DUBOIS",23,"PR  ","70",NA,"externe",2020,NA,"114505160",NA,NA,NA
"Arnaud DUBOIS",4355,"MCF","70",NA,"interne",2018,NA,"114505160",NA,NA,NA
"Arnaud SIMÉONE",4300,"MCF  ","70",NA,"externe",2020,NA,"179942042",NA,NA,NA
"Arnaud SIMÉONE",4378,"MCF","70"," pdt ","interne",2019,NA,"179942042",NA,NA,NA
"ARTAUD Michèle",4459,NA,NA,NA,"externe",2019,NA,"197859852",NA,NA,NA
"Arthur Vuattoux",4729,NA,NA,NA,"externe",2020,"Université Paris 13","178789240",NA,NA,NA
"Athanasios GAGATSIS",4286,"PR","26",NA,"externe",2017," Chypre ","152866817",NA,NA,NA
"Aude Rabaud",645,NA,NA,NA,"externe",2018,NA,"78245257",NA,NA,NA
"Audrey Boulin",24,NA,NA,NA,"interne",2020,"CY CERGY PARIS UNIVERSITE","182504247",NA,NA,NA
"Audrey Murillo",4464,"MC","70",NA,"externe",2019," ENSFEA","14718844X",NA,NA,NA
"Augustin MUTUAL",1073," PR","70",NA,"externe",2018," Université Catholique de Paris ","68446055",NA,NA,NA
"Augustin MUTUAL",4325,"PR","70",NA,"externe",2019,NA,"68446055",NA,NA,NA
