"Name","n_poste","Level","Section","Role","status","year","institutions","ID","X","X.1","Id.author.no"
"Denis PASCO",4413,"PR","70","pdt","interne",2017,NA,"84579498",NA,NA,NA
"Denis PASCO",4438," PR","70",NA,"interne",2018,NA,"84579498",NA,NA,NA
"Denis PASCO",4452,"PR","70",NA,"interne",2018,NA,"84579498",NA,NA,NA
"Denis PASCO",4510,"PR"," 70 ",NA,"interne",2019,NA,"84579498",NA,NA,NA
"Denis POIZAT",4305,"PR","70",NA,"interne",2017,NA,"66867525",NA,NA,NA
"Denis POIZAT",4341," PR ","70","pdt","interne",2018,"ECP  ","66867525",NA,NA,NA
"Denise ORANGE RAVACHOL",643,"PU","70",NA,"externe",2018," Lille ","75679248",NA,NA,NA
"Denise ORANGE RAVACHOL",4464,NA,NA,NA,"externe",2018,NA,"75679248",NA,NA,NA
"Denise ORANGE RAVACHOL",4436,"Pu","70",NA,"externe",2018,NA,"75679248",NA,NA,NA
"Denise ORANGE RAVACHOL RAVACHOL",543,"PR","70",NA,"externe",2017," Lille 3 ","75679248",NA,NA,NA
"Denise ORANGE RAVACHOL RAVACHOL",4268,"PR","70","pdt","interne",2017,NA,"75679248",NA,NA,NA
"Denise ORANGE RAVACHOL RAVACHOL",4282,"PR","70","pdt","interne",2017,NA,"75679248",NA,NA,NA
"Denise ORANGE RAVACHOL RAVACHOL",4314,"PR",NA,NA,"externe",2017,"Lille 3","75679248",NA,NA,NA
"Denise ORANGE RAVACHOL RAVACHOL",4379,"PU","70",NA,"externe",2017," Lille 3","75679248",NA,NA,NA
"Denise ORANGE RAVACHOL RAVACHOL",4403,"PR","70",NA,"externe",2017," Lille 3 ","75679248",NA,NA,NA
"DEVILLE Julie",4383,"MCF","70",NA,"externe",2018," Lille 3 ","87498847",NA,NA,NA
"DI LIBERTI Giuseppe",748,NA,NA,NA,"interne",2019,NA,"164107630",NA,NA,NA
"Di Paola Vanessa",4565,NA,NA,NA,"externe",2020,NA,"182302237",NA,NA,NA
"Diane Bedoin",4346,NA,NA,NA,"externe",2020,NA,"15764250X",NA,NA,NA
"Diane BEDOIN",4325,"MCF","70",NA,"externe",2019,NA,"15764250X",NA,NA,NA
"Diane BEDOIN",4410," MCF","70"," pdt ","interne",2018,NA,"15764250X",NA,NA,NA
"Didier JOURDAN",4197,"PR","70",NA,"externe",2017," ESPE de Clermont-Ferrand","57449317",NA,NA,NA
"Didier Lapeyronnie",4380,NA,NA,"v_pdt","interne",2017,NA,"2858435X",NA,NA,NA
"Dieumegard G",262,"MCF",NA,NA,"interne",2018,NA,NA,NA,NA,"088581330"
"Divina FRAU-MEIGS",4273,"PR","11",NA,"externe",2017,"Sorbonne Nouvelle","35191023",NA,NA,NA
"DJORDJEVIC LEOnaRD Ksenija",4497,"MCF","7",NA,"externe",2020,"Université Montpellier",NA,NA,NA,"083054227"
"DOIGNON-CAMUS Nadège",4466," PR","16"," pdt ","interne",2018,NA,NA,NA,NA,NA
"Dominique ARCHAMBAULT",4068,"PR",NA,NA,"externe",2019," Université Paris 8 ","56981287",NA,NA,NA
"Dominique ARGOUD",4640,"MCF","70"," v_pdt ","interne",2019,NA,"33460434",NA,NA,NA
"Dominique BERGER",13,"PU","70",NA,"externe",2017," Lyon 1","122818709",NA,NA,NA
"Dominique BERGER",54,"PR","70"," pdt","externe",2017,"Lyon 1","122818709",NA,NA,NA
"Dominique BERGER",4197,"PR","70",NA,"externe",2017," ESPE de Lyon ","122818709",NA,NA,NA
"Dominique BERGER",4303," PU ",NA,NA,"externe",2018,NA,"122818709",NA,NA,NA
"Dominique BERGER",4501,"PR","70",NA,"externe",2017," Lyon 1 ","122818709",NA,NA,NA
"Dominique Bret",4648,"MCF",NA,NA,"externe",2020,NA,"79500064",NA,NA,NA
"Dominique BRET",4398,"MCF","19",NA,"interne",2017,NA,"79500064",NA,NA,NA
"Dominique Broussal",25,"PR","70",NA,"externe",2020,NA,"115863869",NA,NA,NA
"Dominique Broussal",4336,"PR","70",NA,"externe",2020,"Université Toulouse Jean Jaurès ","115863869",NA,NA,NA
"Dominique Broussal",4551,"PU","70",NA,"interne",2020,"INSPE Académie Toulouse","115863869",NA,NA,NA
"Dominique Broussal",4529,"PU                                                                                                                                       ","70",NA,"interne",2020,"Université de Toulouse Jean Jaurès","115863869",NA,NA,NA
"Dominique BROUSSAL",191,"MCF","70",NA,"externe",2017," Toulouse 2 Jean Jaurès ","115863869",NA,NA,NA
"Dominique CHEVALIER",192,"MCF","23",NA,"externe",2017," Claude BerNArd Lyon 1","168368196",NA,NA,NA
"Dominique DUCARD",4349,"PR","70",NA,"externe",2018," UPEC ","33785538",NA,NA,NA
"Dominique DUCARD",4463,NA,NA,NA,"externe",2018,NA,"33785538",NA,NA,NA
"Dominique DUCARD",4501,"PR","7","pdt","interne",2017,NA,"33785538",NA,NA,NA
"Dominique MACAIRE",1206,"PR","7"," pdte","interne",2019,NA,"26999501",NA,NA,NA
"Dominique Meloni",4460,"MCF ","70",NA,"interne",2019,NA,"189090189",NA,NA,NA
"Dominique Ottavi",4374,NA,NA,NA,"externe",2019,NA,"59734736",NA,NA,NA
"Dominique Ottavi",4460,"PR ","70",NA,"externe",2019,NA,"59734736",NA,NA,NA
"Dominique Ottavi",4403,"PR","70",NA,"interne",2017,NA,"59734736",NA,NA,NA
"Dominique Ottavi",4404,"PU","70",NA,"interne",2017,NA,"59734736",NA,NA,NA
"Dominique OTTAVI",4426,NA,"70",NA,"externe",2019," Université Paris NAnterre","59734736",NA,NA,NA
"Dominique OTTAVI",4305,"PR","70",NA,"externe",2017," Paris NAnterre ","59734736",NA,NA,NA
"Dominique VIDAL",61,"PR","19",NA,"externe",2017," Paris-Diderot","70412472",NA,NA,NA
"DUCEUX Yann",4420,"MCF","16"," v_pdt ","interne",2020,"Université de Reims","103822453",NA,NA,NA
"DUGAS Eric",4336,"PR","70",NA,"externe",2020,"Université de Bordeaux ","117481548",NA,NA,NA
"DUMET Thomas",73," MCF ","70",NA,"interne",2018,"Univ Lille ","140401881",NA,NA,NA
"Dupont",879,NA,NA,NA,"externe",2020,NA,"26844311",NA,NA,NA
"DURAND Guillaume",748,NA,NA,NA,"externe",2019,NA,"79960022",NA,NA,NA
"Dutercq Yves",4378,"PR","70",NA,"externe",2019," Université de NAntes ","32719965",NA,NA,NA
"Dutercq Yves",4587,NA,NA,NA,"interne",2020,"INSPE de NAntes","32719965",NA,NA,NA
"Dutercq Yves",4581,NA,NA,"pdt","interne",2020,"INSPE Académie de NAntes","32719965",NA,NA,NA
"Dutercq Yves",4565,NA,NA,"pdt","interne",2020,"Université de NAntes","32719965",NA,NA,NA
"E Bouygues",4543,NA,NA,"v_pdt","interne",2020,"INSPE Académie de Besançon",NA,NA,NA,NA
"E Chachkine",4218,NA,NA,NA,"interne",2020,"CNAM",NA,NA,NA,"15547006X"
"E Flavier",4387,NA,NA,NA,"externe",2020,NA,"129135763",NA,NA,NA
"E Guérin",20,NA,NA,NA,"externe",2020,NA,"99530295",NA,NA,NA
"E Lemaire",4509,"MCF","19",NA,"interne",2020,"Université d'Amiens","185577318",NA,NA,NA
"E Nissen",4636,NA,NA,NA,"externe",2020,NA,"34592768",NA,NA,NA
"E Pacurar",4421,NA,NA,NA,"externe",2020,NA,NA,NA,NA,"111709814"
"E Regnault",4591,"MCF","70",NA,"interne",2019,NA,"2991650X",NA,NA,NA
"E Triby",4591,"PU","70"," pdt","interne",2019,NA,NA,NA,NA,"035148314"
"E Triquet",4314,"PR",NA,NA,"externe",2017,"Avignon","170552527",NA,NA,NA
"Ecatérina PACURAR",44,"PR ",NA,NA,"externe",2020,"Université de Lille","111709814",NA,NA,NA
"Ecatérina PACURAR",73," MCF ","70",NA,"externe",2018,"Univ Strasbourg","111709814",NA,NA,NA
"Ecatérina PACURAR",160,"PR"," 70 ",NA,"interne",2020,"Université de Lille","111709814",NA,NA,NA
"Ecatérina PACURAR",4286,"MCF","70",NA,"externe",2017," Strasbourg ","111709814",NA,NA,NA
"Edith GALY",4460,NA,NA,NA,"interne",2019,NA,"69334021",NA,NA,NA
"Edith GALY",4544,"PU",NA,NA,"interne",2018,NA,"69334021",NA,NA,NA
"EL HAGE Suzane",322,"MCF"," 28-70",NA,"externe",2019," Université de Reims Champagne-Ardenne ","179783777",NA,NA,NA
"EL HAGE Suzane",4420,"MCF"," 70 ",NA,"interne",2020,"Université de Reims","179783777",NA,NA,NA
"Elisabeth CUNIN",61,"PR","20",NA,"externe",2017," IRD ","7845557X",NA,NA,NA
"Elisabeth Reignault",4529,"MCF","70",NA,"externe",2020,NA,NA,NA,NA,"121982491"
"Elisabeth SCHNEIDER",749,NA,NA,NA,"externe",2019,NA,"16676843X",NA,NA,NA
"Élise TENRET",406,"MCF",NA,NA,"externe",2019," Université Paris Dauphine","99027550",NA,NA,NA
"Élise TENRET",4409,"MCF",NA,NA,"externe",2017," Paris Dauphine","99027550",NA,NA,NA
"Ellen WILLIAMS-WANQUET",4197,"PR","11","pdt","interne",2017,NA,NA,NA,NA,NA
"Emilie Saunier",4648,"MCF",NA,NA,"externe",2020,NA,"195933664",NA,NA,NA
"Emilie SAUNIER",4413,"MCF","70",NA,"interne",2017,NA,"195933664",NA,NA,NA
"Emilie SAUNIER",4452,"MCF","70",NA,"interne",2018,NA,"195933664",NA,NA,NA
"Emilie SAUNIER",4510,"MCF","70"," pdte","interne",2019,NA,"195933664",NA,NA,NA
"Emmanuel de Lescure",4379,"MCF","70",NA,"externe",2017," Paris 5","50715852",NA,NA,NA
"Emmanuel de Lescure",4400,"MCF","70",NA,"externe",2017," Paris Descartes ","50715852",NA,NA,NA
"Emmanuel JOVELIN",4640,"PR","19",NA,"externe",2019," Université de Lorraine ","50407708",NA,NA,NA
"Emmanuel NAL",901,"MCF","70",NA,"externe",2017," Université de Haute Alsace ","177837462",NA,NA,NA
"Emmanuel Rusch",4348,NA,"46",NA,"interne",2017,"Tours ","33533326",NA,NA,NA
"Emmanuel TRIBY",75,NA,NA,NA,"externe",2018,NA,"35148314",NA,NA,NA
"Emmanuel TRIBY",75,NA,NA,NA,"externe",2018,NA,"35148314",NA,NA,NA
"Emmanuel TRIBY",909,"PR","70",NA,"externe",2017," Strasbourg ","35148314",NA,NA,NA
"Emmanuel TRIBY",4466," PR","70"," v_pdt ","interne",2018,NA,"35148314",NA,NA,NA
"Emmanuelle Annoot",4464,"PU","70",NA,"externe",2019," Université deRouen","34359443",NA,NA,NA
"Emmanuelle ANNOOT",25,"PR","70",NA,"externe",2020,NA,"34359443",NA,NA,NA
"Emmanuelle ANNOOT",646,"PU","70",NA,"externe",2018," Univ Caen ","34359443",NA,NA,NA
"Emmanuelle ANNOOT",4334,"PR","70",NA,"externe",2017," Rouen ","34359443",NA,NA,NA
"Emmanuelle ANNOOT",4377,"PR","70",NA,"externe",2019," Université deRouen Normandie ","34359443",NA,NA,NA
"Emmanuelle ANNOOT",4383,"PR"," 70 ",NA,"interne",2018,NA,"34359443",NA,NA,NA
"Emmanuelle ANNOOT",4449,"PR"," 70 ",NA,"interne",2019,NA,"34359443",NA,NA,NA
"Emmanuelle ANNOOT",4499,"PU  ","70",NA,"externe",2020,NA,"34359443",NA,NA,NA
"Emmanuelle Brossais",4191," PR ",NA,NA,"externe",2018,"Université Toulouse Jean Jaurès","76700186",NA,NA,NA
"Emmanuelle Brossais",4464,"PU","70",NA,"interne",2019,NA,"76700186",NA,NA,NA
"Emmanuelle Brossais",4498,NA,"70","pdt","externe",2020,NA,"76700186",NA,NA,NA
"Emmanuelle Brossais",4501,"PU ","70",NA,"externe",2020,NA,"76700186",NA,NA,NA
"Emmanuelle Brossais",4550,"PU","70",NA,"interne",2020,"INSPE  Toulouse Occitanie Pyrénées","76700186",NA,NA,NA
"Emmanuelle BROSSAIS",4514,NA,"70",NA,"externe",2019," Université Toulouse Jean Jaurès","76700186",NA,NA,NA
"Emmanuelle MAUNAYE",4378,"MCF","19",NA,"externe",2019," Université Rennes 1","33298106",NA,NA,NA
"Emmanuelle Savignac",4612,"MCF",NA,NA,"externe",2020,"Paris 3 Sorbonne Nouvelle","60741635",NA,NA,NA
"Emmanuelle VOULGRE",4286,"MCF","70",NA,"externe",2017," Paris Descartes ","156774259",NA,NA,NA
"EMPRIN Fabien",4460,NA,NA,NA,"externe",2019,NA,"86946641",NA,NA,NA
"Eric ANCEAU",4365,NA,NA,NA,"externe",2019,NA,"83047271",NA,NA,NA
"Eric Bertrand",4337,NA,NA,NA,"interne",2019,NA,"160563895",NA,NA,NA
"Eric BRUILLIARD",4425,NA,"70",NA,"externe",2019," Université Paris Descartes ",NA,NA,NA,"028314530"
"Eric FLAVIER",125,"PR","70",NA,"externe",2020,"Université de Strasbourg ","60784407",NA,NA,NA
"Eric FLAVIER",901,"MCF HDR","74",NA,"externe",2017," Université de Strasbourg-ESPE ","60784407",NA,NA,NA
"Eric FLAVIER",1206,"PR","70",NA,"externe",2019," ESPE Académie de Strasbourg ","60784407",NA,NA,NA
"Eric FLAVIER",4305,"MCF",NA,NA,"externe",2017," Strasbourg ","60784407",NA,NA,NA
"Éric LABBE",4398,"PR","31","pdt","interne",2017,NA,"224780697",NA,NA,NA
"Eric Mangez",4762,NA,NA,NA,"externe",2020,"Université Louvain-la-Neuve                                                                                                                                                                                                                                                          ","123980380",NA,NA,NA
"Eric MOUNIER",4303," MCF ",NA,NA,"externe",2018,NA,"81168055",NA,NA,NA
"Eric PRAIRAT",1207,"PR"," 70 ",NA,"interne",2019,NA,NA,NA,NA,"033552096"
"Eric PRAIRAT",1207,"PR"," 70 ",NA,"interne",2019,NA,NA,NA,NA,"033552096"
"Eric PRAIRAT",1207,"PR"," 70 ",NA,"interne",2019,NA,NA,NA,NA,"033552096"
"Eric PRAIRAT",901,"PR","70",NA,"interne",2017,NA,NA,NA,NA,"033552096"
"Eric PRAIRAT",901,"PR","70",NA,"interne",2017,NA,NA,NA,NA,"033552096"
"Eric PRAIRAT",901,"PR","70",NA,"interne",2017,NA,NA,NA,NA,"033552096"
"Eric PRAIRAT",4265,"PU",NA," pdt ","externe",2017,NA,NA,NA,NA,"033552096"
"Eric PRAIRAT",4265,"PU",NA," pdt ","externe",2017,NA,NA,NA,NA,"033552096"
"Eric PRAIRAT",4265,"PU",NA," pdt ","externe",2017,NA,NA,NA,NA,"033552096"
"Éric RODITI",643,"PU","70",NA,"externe",2018," Descartes ","30956544",NA,NA,NA
"Éric RODITI",362,NA,"70",NA,"externe",2020,NA,"30956544",NA,NA,NA
"Éric RODITI",4263,"PR",NA,NA,"interne",2017,NA,"30956544",NA,NA,NA
"Éric RODITI",4387,"PR","70",NA,"externe",2017," Paris Descartes ","30956544",NA,NA,NA
"Éric TORTOCHOT",545,"MCF","70",NA,"interne",2017,NA,"78013992",NA,NA,NA
"Eric TRIQUET",195,"PR","70",NA,"externe",2017," Avignon et Pays de Vaucluse ","66972035",NA,NA,NA
"Érica DE VRIES",19,NA,NA,NA,"interne",2020,"Université Grenoble Alpes","60839503",NA,NA,NA
"Érica DE VRIES",406,"PR ",NA,NA,"interne",2019,NA,"60839503",NA,NA,NA
"Érica DE VRIES",44,"PR",NA," pdt ","interne",2020,"Université Grenoble Alpes","60839503",NA,NA,NA
"Érica DE VRIES",131,"PR",NA,"pdt","interne",2017,NA,"60839503",NA,NA,NA
"Érica DE VRIES",403,"PR ",NA,NA,"interne",2019,NA,"60839503",NA,NA,NA
"Érica DE VRIES",4327," PR",NA,NA,"externe",2018," Université de Grenoble ","60839503",NA,NA,NA
"Érica DE VRIES",4343," PR ","70",NA,"externe",2018,"LaRAC","60839503",NA,NA,NA
"Érica DE VRIES",4446,NA,NA,NA,"externe",2020,NA,"60839503",NA,NA,NA
"Eschenauer",879,NA,NA,NA,"interne",2020,"INSPE Université Aix-Marseille","230393330",NA,NA,NA
"Espinassy",879,NA,NA,NA,"interne",2020,"INSPE Université Aix-Marseille","112210805",NA,NA,NA
"Etienne Douat",4648,"MCF",NA," pdt","interne",2020,"INSPE Université de Poitiers","94686203",NA,NA,NA
"Eve GARDIEN",4376,"MCF","19",NA,"externe",2019," Université Rennes 2 ","75883031",NA,NA,NA
"Evelyne CLEMENT",4426,NA,"16 ",NA,"interne",2019,NA,"122562097",NA,NA,NA
"Evelyne THOIZET",58,NA,NA,NA,"interne",2019,NA,"50149245",NA,NA,NA
"F Durreysseix",62,NA,NA,NA,"interne",2020,"CUFR de Mayotte",NA,NA,NA,"203169506"
"F Le Hebel",19,NA,NA,NA,"externe",2020,NA,NA,NA,NA,"061591416"
"F Longueville",4279,NA,NA,NA,"externe",2020,NA,NA,NA,NA,"083932380"
"F Marchal-Ninosque",4543,NA,NA,NA,"interne",2020,"INSPE Académie de Besançon",NA,NA,NA,"057703817"
"F Pellegry",4279,NA,NA,NA,"interne",2020,"Université de la Réunion",NA,NA,NA,"176895914"
"F Ric",4647,NA,NA,NA,"externe",2020,NA,"223496898",NA,NA,NA
"F Torterat",361,NA,NA,"pdt","interne",2020,"Université de Montpellier",NA,NA,NA,"147807018"
"F Torterat",361,NA,NA,"pdt","interne",2020,"Université de Montpellier",NA,NA,NA,NA
"F Torterat",260,NA,NA,NA,"interne",2018,NA,NA,NA,NA,"147807018"
"F Torterat",260,NA,NA,NA,"interne",2018,NA,NA,NA,NA,NA
"F Tupin",4279,NA,NA,NA,"interne",2020,"Université de la Réunion",NA,NA,NA,"070561168"
"F Tupin",4279,NA,NA,NA,"interne",2020,"Université de la Réunion",NA,NA,NA,"070561168"
"F Tupin",62,NA,NA,"pdt","externe",2020,NA,NA,NA,NA,"070561168"
"F Tupin",62,NA,NA,"pdt","externe",2020,NA,NA,NA,NA,"070561168"
"Fabien FENOUILLET",193,"PR",NA," pdt","externe",2017," NAnterre ","34359532",NA,NA,NA
"Fabien FENOUILLET",197,"PR",NA," pdt","externe",2017," NAnterre ","34359532",NA,NA,NA
"Fabien FENOUILLET",4482,"PR","16",NA,"externe",2018,NA,"34359532",NA,NA,NA
"Fabienne BRIERE-GUENOUN",4305,"MCF",NA,NA,"externe",2017," Aix-Marseille ","101340273",NA,NA,NA
"Fabienne BRIERE-GUENOUN",4464,NA,NA,NA,"externe",2018,NA,"101340273",NA,NA,NA
"Fabienne BRIERE-GUENOUN",4403,"MCF",NA,NA,"externe",2017," Aix-Marseille","101340273",NA,NA,NA
"Fabienne Maillard",24,NA,NA,NA,"externe",2017,NA,"129209872",NA,NA,NA
"Fabienne Maillard",4400,"PU","70",NA,"interne",2017,NA,"129209872",NA,NA,NA
"Fabienne Maillard",4574,NA,NA,NA,"externe",2018,"Paris 8","129209872",NA,NA,NA
"Fabienne Maillard",4772,NA,NA,NA,"externe",2020,"Université Paris 8","129209872",NA,NA,NA
"Fabienne Maillard",4762,NA,NA,NA,"externe",2020,"Université Paris 8","129209872",NA,NA,NA
"Fabienne Maillard",4775,NA,NA,NA,"externe",2020,"Université Paris 8","129209872",NA,NA,NA
"Fabienne MAILLARD",4283,"PR","70",NA,"externe",2017," Paris 8 ","129209872",NA,NA,NA
"Fabienne MAILLARD",4336,"PR ","70",NA,"externe",2020,"Université Paris  Vincennes Saint-Denis","129209872",NA,NA,NA
"Fabienne MAILLARD",4418,NA,"70",NA,"externe",2019," Université Paris8 ","129209872",NA,NA,NA
"Fabienne MAILLARD",4501,"PR","70",NA,"externe",2017," P8 ","129209872",NA,NA,NA
"Fabienne MAILLARD",4499,"PU","70",NA,"interne",2020,"Université Paris 8","129209872",NA,NA,NA
"FABRE Marion ",4447,NA,NA,NA,"interne",2020,"Université Lyon 2 (Lumière)","180817930",NA,NA,NA
"Fabrice BARTHELEMY",4273,"PR","70",NA,"externe",2020,"Université Paris  3","107947072",NA,NA,NA
"Fanny SALANE",4303," MCF ",NA,NA,"externe",2018,NA,"143329421",NA,NA,NA
"Fanny SALANE",4398,"MCF","70",NA,"externe",2017," Paris NAnterre ","143329421",NA,NA,NA
"Fanny SALANE",4501,"MCF","70",NA,"externe",2017," Paris NAnterre ","143329421",NA,NA,NA
"Fanny SALANE",4516,"MCF","70"," pdte","interne",2019,NA,"143329421",NA,NA,NA
"Fantognon",878,NA,NA,NA,"externe",2020,NA,"198065787",NA,NA,NA
"Fantognon",879,NA,NA,NA,"externe",2020,NA,"198065787",NA,NA,NA
"Farges Géraldine",56,NA,NA,NA,"externe",2019,NA,"112353916",NA,NA,NA
"Farges Géraldine",4509,"MCF","70",NA,"externe",2020,NA,"112353916",NA,NA,NA
"Farinaz FASSA RECROSIO",54,"PR","19",NA,"externe",2017," Lausanne ","233304886",NA,NA,NA
"Fatima CHNANE-DAVIN",545,"PR","70",NA,"interne",2017,NA,"92157548",NA,NA,NA
"Fatima CHNANE-DAVIN",589,"PR","7",NA,"interne",2017,NA,"92157548",NA,NA,NA
"Fatima CHNANE-DAVIN",4226,"PR","70",NA,"externe",2020,NA,"92157548",NA,NA,NA
"FAURY Gilles",381,"PR ",NA,NA,"interne",2019,NA,"59939354",NA,NA,NA
"Fernex Alain",4565,NA,NA,NA,"externe",2020,NA,"97640174",NA,NA,NA
"FERNEX Alain",4446,NA,NA,"v_pdt ","interne",2020,"Université Lyon 2 (Lumière)","97640174",NA,NA,NA
"FERNEX Alain",4447,NA,NA,"v_pdt ","interne",2020,"Université Lyon 2 (Lumière)","97640174",NA,NA,NA
"FERRATY Frédéric",4459,NA,NA,"v_pdt","interne",2019,NA,"33150737",NA,NA,NA
"FIGUEIREDO Christina",4439," MCF","70",NA,"externe",2018," Université Paris 5 ",NA,NA,NA,"060711442"
"FIGUEIREDO Christina",4439," MCF","70",NA,"externe",2018," Université Paris 5 ",NA,NA,NA,"060711442"
"FIGUEIREDO Christina",4440," MCF","70",NA,"externe",2018," Université Paris 5 ",NA,NA,NA,"060711442"
"FIGUEIREDO Christina",4440," MCF","70",NA,"externe",2018," Université Paris 5 ",NA,NA,NA,"060711442"
"FLORE Patrice",381,"MCF",NA," v_pdt ","interne",2019,NA,"17780792X",NA,NA,NA
"Florence CASSIGNOL",1087,"MCF"," 16 ",NA,"externe",2019,NA,"134256999",NA,NA,NA
"Florence DARNIS",4305,"MCF",NA,NA,"externe",2017," Bordeaux ","82030073",NA,NA,NA
"Florence DESPRET",4284,"PR","23",NA,"externe",2017," Paris 1 Panthéon-Sorbonne ",NA,NA,NA,NA
"Florence ELOY",4377,"MCF","70",NA,"externe",2019," Université Paris 8","166714836",NA,NA,NA
"Florence ELOY",4398,"MCF","19",NA,"externe",2017," Paris 8 ","166714836",NA,NA,NA
"Florence LABRELL",4064,"PU","70",NA,"interne",2018,NA,"35084030",NA,NA,NA
"Florence LABRELL",4061,"PU","70","pdt","interne",2017,NA,"35084030",NA,NA,NA
"Florence LABRELL",4065,"PU","70",NA,"interne",2018,NA,"35084030",NA,NA,NA
"Florence LABRELL",4403,"PR","70",NA,"externe",2017," INSHEA ","35084030",NA,NA,NA
"Florence LABRELL",4410,"PU","70",NA,"externe",2018," INSHEA ","35084030",NA,NA,NA
"Florence LABRELL",4551,"PR","70",NA,"externe",2018," INS HEA ","35084030",NA,NA,NA
"Florence LABRELL",4551,"PR","70",NA,"externe",2018," INS HEA ","35084030",NA,NA,NA
"Florence Mourlhon-Dallies",4379,"PU","70",NA,"externe",2017," Paris 5","81816723",NA,NA,NA
"Florence Savournin",4550,"MCF","70","v_pdt","interne",2020,"INSPE  Toulouse Occitanie Pyrénées","103186018",NA,NA,NA
"Florian OUITRE",4381,"MCF","70",NA,"interne",2018,NA,"139202455",NA,NA,NA
"Florian OUITRE",4464,NA,NA,NA,"externe",2018,NA,"139202455",NA,NA,NA
"Florian OUITRE",4403,NA,NA,NA,"externe",2017,NA,"139202455",NA,NA,NA
"FLUCKIGER Cédric",23,"MCF ","70",NA,"externe",2020,NA,"135643198",NA,NA,NA
"FORTIN Corinne",381,"MCF",NA,NA,"externe",2019," ESPE-Université Paris-Est Créteil ","139035435",NA,NA,NA
"FORTIN Corinne",4550,"MCF","70",NA,"interne",2018,NA,"139035435",NA,NA,NA
"FORTIN Sylvie",4480,"MCF"," 16 ",NA,"interne",2020,"Université de Tours (IUT de Tours)",NA,NA,NA,NA
"Foued Laroussi",117,NA,NA,NA,"externe",2019,"U Rouen","35162007",NA,NA,NA
"France ARBOIX",321,"MCF"," 70 ",NA,"interne",2019,NA,"177124717",NA,NA,NA
"France ARBOIX",4161,"MCF"," 70 ",NA,"interne",2019,NA,"177124717",NA,NA,NA
"Francesco ARCIDIACONO",4510,"PR","70",NA,"externe",2019," Haute Ecole Pédagogique de Bejune Suisse","196507901",NA,NA,NA
"Francine Nyambek Mebenga",4763,"MCF ",NA,NA,"interne",2020,"Université Paris Est Créteil (Paris 12)","174534310",NA,NA,NA
"Francine Nyambek Mebenga",4729,"MCF ",NA,NA,"interne",2020,"INSPE Académie de Créteil","174534310",NA,NA,NA
"Francis DUPUY",61,"PR","20",NA,"externe",2017," Toulouse 2 ","28397177",NA,NA,NA
"Francis Lebon",4346,NA,NA,NA,"externe",2020,NA,"94660808",NA,NA,NA
"Francis Lebon",4763,"PR",NA,NA,"externe",2020,"Université Paris Descartes ","94660808",NA,NA,NA
"Francis LEBON",4337,NA,"70",NA,"externe",2019," UPEC ","94660808",NA,NA,NA
"Francis LEBON",4303," MCF ",NA,NA,"externe",2018,NA,"94660808",NA,NA,NA
"François BALUTEAU",4305,"PR","70",NA,"interne",2017,NA,"32550251",NA,NA,NA
"François BURBAN",749,NA,NA,NA,"externe",2019,NA,"120287404",NA,NA,NA
"François BURBAN ",4511,NA,NA,NA,"interne",2019,NA,"120287404",NA,NA,NA
"François DURPAIRE",4285,"MCF","70",NA,"interne",2017,NA,"61750166",NA,NA,NA
"François LE GOFF",193,"?MCF","9",NA,"externe",2017," Toulouse Jean Jaurès ","124359094",NA,NA,NA
"François Legendre",4639,"PR ","5"," v_pdt","interne",2019,NA,"3263689X",NA,NA,NA
"François SIMON",4428,"MCF","70",NA,"externe",2019," ESPE NAntes ","74163922",NA,NA,NA
"François VILLEMONTEIX",4286,"MCF","70",NA,"interne",2017,NA,"129783838",NA,NA,NA
"François Xavier BERNARD",4268,"MCF","70",NA,"externe",2017," Paris Descartes ","13950740X",NA,NA,NA
"Françoise BRÉANT",4061,"PU","70",NA,"externe",2017," Paris NAnterre ","176018115",NA,NA,NA
"Françoise BRÉANT",4355,"PR","70",NA,"externe",2018," Université Paris NAnterre ","176018115",NA,NA,NA
"Françoise BRÉANT",4420,"PR","70",NA,"externe",2017," Paris NAnterre ","176018115",NA,NA,NA
"Françoise Hatchuel",4612,"PR",NA," pdt","interne",2020,"Université Paris NAnterre","52445798",NA,NA,NA
"Françoise LANTHEAUME",4343," PR ",NA,NA,"interne",2018,"ECP","84338962",NA,NA,NA
"Françoise LANTHEAUME",4305,"PR","70","pdt","interne",2017,NA,"84338962",NA,NA,NA
"Françoise LANTHEAUME",4376,"PR"," 70 ",NA,"interne",2019,NA,"84338962",NA,NA,NA
"Françoise LANTHEAUME",4378,"PR","70","v_pdte ","interne",2019,NA,"84338962",NA,NA,NA
"Françoise LAOT",4305,"PR","19",NA,"externe",2017," Reims ","34518886",NA,NA,NA
"Françoise LAOT",4383,"PR","19",NA,"externe",2018," Reims ","34518886",NA,NA,NA
"Françoise LAOT FRÉCHET",4303," PU ",NA,NA,"externe",2018,NA,NA,NA,NA,NA
"Françoise Neau",4374,NA,NA,NA,"interne",2019,NA,"70743835",NA,NA,NA
"Françoise POYET",589,"PR","70",NA,"externe",2017," Lyon 1 ","139016716",NA,NA,NA
"Françoise POYET",630,"PU","70",NA,"externe",2018," Université Claude BerNArd Lyon 1 - ESPE ","139016716",NA,NA,NA
"Françoise POYET",4305,"PR","70",NA,"externe",2017," ESPE Université Lyon 1","139016716",NA,NA,NA
