ID,Name,institutions
34947485,Jean DEVAUX,Université du Littoral
35104589,M Grosbois,CNAM
35279281,Stéphane Beaud,INSPE Université de Poitiers
35434198,Pascal Severac,INSPE Académie de Créteil
3558162X,Annie JEZEGOU,Université de Lille
35612649,Brigitte Marin,INSPE Académie de Créteil
35785926,Léandro DE LAJONQUIERE,Université Paris 8
35807660,CHALMEL Loïc,Université de Mulhouse
50714619,Maria PAGONI,Université de Lille
51621509,Herold,INSPE Université Aix-Marseille
5220300X,Bruno Robbes,CY Cergy Paris Université
52445798,Françoise Hatchuel,Université Paris NAnterre
55387470,Brière,INSPE Université Aix-Marseille
57497346,Hervé Daguet,Université de Rouen
57531331,Gilles Moreau,INSPE Université de Poitiers
57594236,Patricia Tavignot,Université de Rouen
57765766,BLAYA DEBARBIEUX Catherine,Université Côte d'Azur
57786046,Xavier Buff,INSPE Académie Toulouse
58500456,Jean-François GOUBET,Université de Lille
59195975,BEN AYED Choukri,Université de Limoges
59316640,MARIE Edith,Université Côte d'Azur
59433000,GRANJON Fabien,Université Paris 8
60307218,S Richardot,Université d'Amiens
60785020,Serge Leblanc,Université de Montpellier
60839503,Érica DE VRIES,Université Grenoble Alpes
61110949,Magali Hersant,INSPE Académie de NAntes
61782270,Marie-France Carnus,INSPE Académie Toulouse
69039089,Stéphane BONNERY,Université Paris 8
6905472X,Christine Vidal Gomel,['INSPE Académie de NAntes' 'Université de NAntes']
69168954,Jean-François Marcel,Université de Toulouse Jean Jaurès
6942117X,COMBALBERT Nicolas,Université de Tours (IUT de Tours)
69558132,BABY COLLIN Virginie,INSPE Université Aix-Marseille
6982004X,TCHERKASSOF Anna,Université Grenoble Alpes
69940010,Valérie BECQUET,CY Cergy Paris Université
70232016,JACQUES Marie-Hélène,Université de Limoges
70288615,PL Fort,CY Cergy Paris Université
70360235,Tazouti Youssef,Université de Lorraine
71200029,Yves VERNEUIL,Université Lyon 2 (Lumière)
71490825,Gilles Raveneau,Université Paris NAnterre
74263595,Philippe FORAY,Université de Saint-Etienne
74433261,Saujat,INSPE Université Aix-Marseille
74685961,ALLOUACHE Ferroudja,Université Paris 8
75643448,Muriel FRISCH,Université de Reims
75694980,HAGEGE Hélène,Université de Limoges
76700186,Emmanuelle Brossais,INSPE  Toulouse Occitanie Pyrénées
77399579,nathalie Roucous,Université Paris 13
77712986,Jean-François GIRET,Université de Dijon
77902033,GINESTIE Jacques,INSPE Université Aix-Marseille
77902092,Brandt-Pomares,INSPE Université Aix-Marseille
78455197,Véronique BORDES,['INSPE  Toulouse Occitanie Pyrénées' 'Université de Toulouse Jean Jaurès']
78714524,CARRAUD Françoise,Université Lyon 2 (Lumière)
78972485,Alain Mouchet,"['Université Paris 12 (IUT S & Marne)'
 'Université Paris Est Créteil (Paris 12)']"
79359914,Sylvain WAGNON,Université de Montpellier
79508138,M Prost,Université de Bretagne Occidentale (Brest)
80001122,POTOLIA Anthippi,Université Paris 8
80173578,D Pasco,INSPE Académie de Besançon
80234798,Combe,INSPE Université Aix-Marseille
80526470,Philippe DESSUS,Université Grenoble Alpes
80578233,N Vibert,Université de Poitiers
80632718,Christian Papinot,INSPE Université de Poitiers
80921728,Pascal Dupont,INSPE  Toulouse Occitanie Pyrénées
8181500X,CLERC Jérôme,Université Grenoble Alpes
82100306,Patrice Bouyssières,Université de Toulouse Jean Jaurès
82292477,Abdelkarim ZAID,Université de Lille
83045228,S Wagnon,Université de Montpellier
83558462,GAVENS nathalie,Université de Mulhouse
83638393,S Caillies,Université de Reims
83867953,M Frisch,Université de Reims
83932380,LONGUEVILLE Fabienne,Université Côte d'Azur
84178019,Laurent Talbot,Université de Toulouse Jean Jaurès
84598425,Marie-France BISHOP,CY Cergy Paris Université
85802638,['Gilles MONCEAU' 'Gilles Monceau'],CY Cergy Paris Université
85907014,L Higgs,Université de Strasbourg
86862057,Geneviève ZOIA,Université de Montpellier
87101203,Lucile CADET,CY Cergy Paris Université
90444590,Caroline DESOMBRE,Université de Lille
91450993,SALES-WUILLEMIN Edith,Université de Dijon
91901243,SPINELLI Elsa,Université Grenoble Alpes
92685609,Geneviève Bergonnier-Dupuy,Université Paris NAnterre
93544499,P Roquet,CNAM
93551991,CHATEIGNER Frédéric,Université de Tours (IUT de Tours)
93630832,['Stéphane BRAU-ANTONY' 'Stéphane Brau-Antony'],Université de Reims
94686203,Etienne Douat,INSPE Université de Poitiers
94835462,ROUVELLAC Eric,Université de Limoges
95010750,Sabrina Labbé,Université de Toulouse Jean Jaurès
95389334,CURELLY Laurent,Université de Mulhouse
95664629,GOÏ Cécile,['Université de Tours' 'Université de Tours (IUT de Tours)']
97640174,FERNEX Alain,Université Lyon 2 (Lumière)
98582860,Martine Janner,Université Paris 13
