184546095,7957047X,1
184546095,118185276,1
7957047X,118185276,1
121566307,99530295,1
121566307,194321509,1
99530295,194321509,1
114505160,133380130,1
114505160,34055320,1
114505160,135643198,1
114505160,162205295,1
114505160,179004794,1
133380130,34055320,1
133380130,135643198,1
133380130,162205295,1
133380130,179004794,1
133380130,13364233X,1
133380130,61110949,1
133380130,157231550,1
133380130,95203346,1
133380130,58590323,1
34055320,135643198,1
34055320,162205295,1
34055320,179004794,1
34055320,60112654,1
34055320,182302237,1
34055320,97640174,1
34055320,77712994,1
34055320,119170302,1
34055320,54377595,1
34055320,58215360,1
34055320,6905472X,1
135643198,162205295,1
135643198,179004794,1
162205295,179004794,1
179004794,7570000X,1
179004794,50379402,1
179004794,92157548,1
179004794,74242717,1
113455844,69846952,1
113455844,114095507,1
113455844,61782270,1
113455844,185508766,1
113455844,123626781,1
113455844,90444590,1
113455844,5978136X,1
113455844,121416593,2
113455844,93630832,1
113455844,94660808,1
113455844,50714619,1
113455844,91989280,1
69846952,114095507,1
69846952,61782270,1
69846952,185508766,1
69846952,123626781,1
114095507,61782270,1
114095507,185508766,1
114095507,123626781,1
61782270,185508766,1
61782270,123626781,1
61782270,170139077,1
61782270,160524946,1
61782270,199707200,1
185508766,123626781,1
115863869,34359443,1
115863869,103955704,1
115863869,68729529,1
115863869,117481548,1
115863869,129209872,1
115863869,31359922,1
115863869,119170302,1
115863869,75645939,1
34359443,103955704,1
34359443,68729529,1
34359443,54377595,1
34359443,157237427,1
34359443,77013808,1
34359443,52451658,1
34359443,59544120,1
34359443,87582929,1
34359443,126235546,1
103955704,68729529,1
103955704,50775561,1
103955704,111351545,1
103955704,74242717,1
103955704,198308671,1
103955704,60839503,1
103955704,77013808,1
103955704,186402848,1
103955704,56263619,1
103955704,76065081,1
103955704,87498847,1
103955704,93052553,1
103955704,130361372,1
103955704,140804994,1
75643448,80096786,1
75643448,223756237,1
75643448,83966854,1
75643448,34241388,1
80096786,223756237,1
80096786,83966854,1
80096786,34241388,1
223756237,83966854,1
223756237,34241388,1
